Iteration,Potential,Collision Likelihood,Reach Numerator,Entropy,Trial
3,0.5317015903593002,0.15798052468948087,0.6980351933904305,0.75,9
4,0.532672289794397,0.15546930412113816,0.6984110648421055,0.75,9
5,0.5331283734925342,0.1551825730011896,0.701669541625915,0.75,9
6,0.5338552262223462,0.15783133623726606,0.7025477420332131,0.75,9
7,0.5341160414553888,0.158113667502259,0.7025477420332131,0.75,9
8,0.5341160414553888,0.158113667502259,0.7025477420332131,0.75,9
9,0.5341160414553888,0.158113667502259,0.7025477420332131,0.75,9
0,0.7021766988327504,0.08945065179928129,0.7653012390843211,0.85,0
1,0.7295460455485344,0.02439545209929557,0.7650537448019211,0.85,0
2,0.734075997087014,0.0217250578795845,0.7645851626565073,0.85,0
3,0.7348756789010006,0.021749165988656047,0.7756473519064473,0.85,0
4,0.7414813116176584,0.022643138052868113,0.7755144397093633,0.85,0
5,0.742019790731893,0.021875474718595387,0.7755575982701776,0.85,0
6,0.7420303482343402,0.021873444802024675,0.7755575982701776,0.85,0
7,0.7420303482343402,0.021873444802024675,0.7754797144688553,0.85,0
8,0.7420619687756856,0.021497522471730934,0.7754797144688553,0.85,0
9,0.7420619687756856,0.021497522471730934,0.7754797144688553,0.85,0
0,0.9513993708117557,0.008418111395658054,0.9838241578463669,0.85,1
1,0.9717002813110303,0.008404234596104905,0.9824170955868382,0.85,1
2,0.9777786238160232,0.0025934034693514897,0.9823300349215969,0.85,1
3,0.97784986188791,0.0025624727993453513,0.9871063800464558,0.85,1
4,0.9808959502217146,0.0025598270260864253,0.9873191081378374,0.85,1
5,0.9809787629673571,0.0026596532551211084,0.9873151535629803,0.85,1
6,0.9809843404487927,0.0026599300172476244,0.986886889913276,0.85,1
7,0.9813987086671477,0.0026556102105023192,0.9868862224557511,0.85,1
8,0.9813996972868858,0.0026556259135123344,0.9868928599364046,0.85,1
9,0.9813998875741057,0.002656098767595209,0.9872099081003478,0.85,1
0,0.7790379531368622,0.06803302153210071,0.8433524771983232,0.85,2
1,0.8203490209729553,0.015264884015449126,0.8429058604193717,0.85,2
2,0.8231388510564202,0.013559682103488391,0.8415084054578983,0.85,2
3,0.8249190702012875,0.013624176244160298,0.8450950679949752,0.85,2
4,0.8270500269331759,0.015315742272779171,0.844692637361299,0.85,2
5,0.8271993669937864,0.014982535890574859,0.8457322084836593,0.85,2
6,0.8275860583239761,0.014962888972425073,0.8447066597386184,0.85,2
7,0.8275943113407186,0.013833566863447356,0.8445885810648172,0.85,2
8,0.8275999254517197,0.013825640101804404,0.8445885810648172,0.85,2
9,0.8275999254517197,0.013825640101804404,0.8445885810648172,0.85,2
0,0.22522190427057254,0.1828160910298742,0.9521814729502789,0.85,3
1,0.22522552828647885,0.18281131609347226,0.9453357714907019,0.85,3
2,0.9115590018349893,0.021345178066004437,0.9433924446322015,0.85,3
3,0.9163326498547669,0.017134899508571538,0.9433924748262097,0.85,3
4,0.9163326554056206,0.017127025110502233,0.944315598967087,0.85,3
5,0.9174816505442691,0.015707519937293905,0.9443785527437135,0.85,3
6,0.9175053280243142,0.015732150989103133,0.9443785527437135,0.85,3
7,0.9175053280243142,0.015732150989103133,0.9442910633174765,0.85,3
8,0.9175575679357113,0.015336488859035756,0.9442910633174765,0.85,3
9,0.9175575679357113,0.015336488859035756,0.9442910633174765,0.85,3
0,0.285555852772125,0.4588024641611907,0.8733943480912861,0.85,4
1,0.7394235763277743,0.08854937588248718,0.8578603320710072,0.85,4
2,0.7567128605059128,0.08878721581961518,0.8401304248539927,0.85,4
3,0.7965597397731344,0.032298787818427266,0.8643387826769691,0.85,4
4,0.8262916263272004,0.021496462344810244,0.8695789667704765,0.85,4
5,0.8359131482829837,0.021493336910371672,0.8734056260538624,0.85,4
6,0.8394484725609445,0.021207506818552074,0.8745250955419558,0.85,4
7,0.8466740109912322,0.01756762435613979,0.8745145128801722,0.85,4
8,0.8467008768115414,0.017567361875795384,0.8752137860025196,0.85,4
9,0.8468747829488408,0.017723603342661452,0.8752083505091925,0.85,4
0,0.5409521778967641,0.27308100344661734,0.6372453063606565,0.85,5
1,0.5940724552576658,0.0498922060139307,0.6372043877300648,0.85,5
2,0.594188208026509,0.04989865177737149,0.6369035989347838,0.85,5
3,0.5986652251726651,0.04708480448140199,0.6747046288394948,0.85,5
4,0.6286552183017045,0.047418545135062204,0.6742958137721677,0.85,5
5,0.6288865517213825,0.04672914836464836,0.674350241782832,0.85,5
6,0.6288922059436249,0.04678072676165373,0.8206426749898988,0.85,5
7,0.7062677067231081,0.09445249045369258,0.8204397473143237,0.85,5
8,0.7062939609963763,0.09415915686184397,0.8205567747580771,0.85,5
9,0.706289523272173,0.09417152370394438,0.8312456085983576,0.85,5
0,0.8585929288025645,0.012395287627245843,0.8728110380096735,0.85,6
1,0.8587333559958775,0.012124574189162109,0.8718325822870597,0.85,6
2,0.8590575822455396,0.012086659279056859,0.8714937203790128,0.85,6
3,0.8592284187878507,0.012093541410896011,0.87149367465597,0.85,6
4,0.8592285381238363,0.012093959524649651,0.8719626833254921,0.85,6
5,0.8596043209686652,0.012150499675708873,0.8720079790807431,0.85,6
6,0.859614358799667,0.012147205799130666,0.8720079790807431,0.85,6
7,0.859614358799667,0.012147205799130666,0.8720079790807431,0.85,6
8,0.859614358799667,0.012147205799130666,0.8720079790807431,0.85,6
9,0.859614358799667,0.012147205799130666,0.8720079790807431,0.85,6
0,0.9611489096827556,0.0040328111298151646,0.9639564813631797,0.85,7
1,0.9616612499999583,0.0025163120257484517,0.9637681607082917,0.85,7
2,0.9630303800722126,0.0008961135229449746,0.9637528305613833,0.85,7
3,0.9630428871332608,0.0008742924928014888,0.9646327624927005,0.85,7
4,0.9638408783081517,0.0009599255232244173,0.9646986489950691,0.85,7
5,0.9638917021311243,0.000972505027329046,0.9646986489950691,0.85,7
6,0.9638917021311243,0.000972505027329046,0.9647049466261881,0.85,7
7,0.963892482792148,0.0009775959453854775,0.964700029054188,0.85,7
8,0.9638930944842773,0.0009720578692898681,0.964700029054188,0.85,7
9,0.9638930944842773,0.0009720578692898681,0.964700029054188,0.85,7
0,0.8283953617765145,0.0472765377094941,0.9816763621974531,0.85,8
1,0.8334655972804604,0.04027521577524241,0.9753218428354382,0.85,8
2,0.8652280782577275,0.028121000105756605,0.9694455325119766,0.85,8
3,0.9064051587948492,0.026502814128273832,0.9697888948334414,0.85,8
4,0.9065429135687874,0.026689367465855453,0.9705882569149974,0.85,8
5,0.9157180940857881,0.02467448981252823,0.9710927880633897,0.85,8
6,0.9167080499835157,0.02492046186690774,0.9710927880633897,0.85,8
7,0.9167080499835157,0.02492046186690774,0.9729369306960189,0.85,8
8,0.9180633280173581,0.02565745549208855,0.973333017997648,0.85,8
9,0.9198084231929362,0.025083550287769322,0.973333017997648,0.85,8
0,0.2882140990534953,0.47238777824507405,0.8914294680425515,0.85,9
1,0.6690731443622521,0.09426673536821858,0.8792625362637329,0.85,9
2,0.7310918745868343,0.09602907298941141,0.8743928289072249,0.85,9
3,0.7494956740437938,0.087985998649059,0.8858603545647162,0.85,9
4,0.7695331785713521,0.0742103192388457,0.8923795744364272,0.85,9
5,0.7728650733878062,0.07524939594270444,0.8913290044435909,0.85,9
6,0.7852543105133029,0.07155827736589042,0.9039753238728867,0.85,9
7,0.8255440176605858,0.044138833651180355,0.9034514125778893,0.85,9
8,0.8265309712622184,0.042849294282651926,0.897035887897918,0.85,9
9,0.8477269479303879,0.024959590724387148,0.9109443553558787,0.85,9
0,0.8972041059926448,0.08209587752049659,0.9897429688183667,0.95,0
1,0.9888448790442622,0.0003418591961020494,0.9897339189070866,0.95,0
2,0.9892430855061554,0.00020397971490436777,0.9897308234175701,0.95,0
3,0.9892545046358316,0.000203998529810852,0.9924644521600049,0.95,0
4,0.9918896239630433,0.000488820252497418,0.992251103264636,0.95,0
5,0.9921523481985007,5.253232399361194e-05,0.9922542066365986,0.95,0
6,0.9921548452238105,5.2710380651458286e-05,0.9924146803705977,0.95,0
7,0.9923147189540621,4.192110705560411e-05,0.9925983111340447,0.95,0
8,0.9925468326211349,2.2751163160255105e-05,0.9925952066858617,0.95,0
9,0.9925529918958057,1.7240135472227245e-05,0.9926048013649735,0.95,0
0,0.9150673320878415,0.04267264943842454,0.9989631027187864,0.95,1
1,0.9288504350001561,0.042821249561778275,0.9988920421847262,0.95,1
2,0.955137239085639,0.027614791882306023,0.9932324577102196,0.95,1
3,0.9875313291807944,0.0031811294258767696,0.9932770640600023,0.95,1
4,0.9875649329450287,0.0031811094089473544,0.9933064290576056,0.95,1
5,0.9898298589358459,0.002088685264737883,0.9936254082463958,0.95,1
6,0.9900020756242864,0.002215236238624002,0.9936769710038756,0.95,1
7,0.9900466154501388,0.0022151732647829984,0.9936745620267522,0.95,1
8,0.9900494434214978,0.0022130324693916815,0.9936746764002232,0.95,1
9,0.9900494783446954,0.0022130505202588163,0.9936698607717696,0.95,1
0,0.09167044371420376,0.08416696075129793,0.997403201503295,0.95,2
1,0.974777761851162,0.0021084469290263167,0.9934109345633559,0.95,2
2,0.9893022953620985,0.002142532598294118,0.993186351053146,0.95,2
3,0.9902424201848291,0.001477196515496903,0.9931810118713809,0.95,2
4,0.9902677848542591,0.0014979106465048875,0.9971249770285032,0.95,2
5,0.9934633682143792,0.0014972347135531233,0.9967927421487389,0.95,2
6,0.9935725671917089,0.001230093348907573,0.9967866843959913,0.95,2
7,0.993640029641193,0.0011621516688756137,0.9965835978416122,0.95,2
8,0.993773678692225,0.0011621766662930336,0.9966418545149852,0.95,2
9,0.9938363038138545,0.0011617495192480492,0.9966418545149852,0.95,2
0,0.09245565052948355,0.08510797107213405,0.9532871385423566,0.95,3
1,0.9264338140354252,0.019163036239525505,0.9517445322812099,0.95,3
2,0.9491187904078036,0.001344799076707328,0.9515805050017982,0.95,3
3,0.9494588990905213,0.0008124750758832863,0.9960869463386701,0.95,3
4,0.9924191645653042,0.001613832481897497,0.9976043574376313,0.95,3
5,0.9948605539941259,0.0016245882383435638,0.9976196887874808,0.95,3
6,0.9948912794820614,0.0016092186949119922,0.9976791360988206,0.95,3
7,0.9949223772674295,0.0016307740093931772,0.9976157644967877,0.95,3
8,0.9950193740996427,0.0014374537130861292,0.9976443183233931,0.95,3
9,0.9950265912881533,0.001458814510819758,0.9976431993744823,0.95,3
0,0.9681282603807261,0.010151651506094699,0.9993631343507663,0.95,4
1,0.9688207076404405,0.009519805846625626,0.999199378475066,0.95,4
2,0.9784084080730462,0.001545851288111114,0.9989410759345483,0.95,4
3,0.9953262013765485,0.0014719492190729173,0.9987571990541347,0.95,4
4,0.9953586696257858,0.0014721853381040653,0.9988422763903184,0.95,4
5,0.9960205465685033,0.0012326260689386368,0.998881046081938,0.95,4
6,0.9960779916013783,0.0012320876500595639,0.9989938637108625,0.95,4
7,0.996153362632126,0.001252852021313398,0.9990360835981813,0.95,4
8,0.9961482525182273,0.0012635560880740469,0.9990357212312341,0.95,4
9,0.9961491961399932,0.0012632701285957028,0.9990287418602417,0.95,4
0,0.774236567516312,0.08608651336211125,0.8893812390829585,0.95,5
1,0.8773846587125155,0.010823916771282714,0.8892826606919386,0.95,5
2,0.8833360526543742,0.007644904560482654,0.8892826606919386,0.95,5
3,0.8833360526543742,0.007644904560482654,0.8961988715922753,0.95,5
4,0.889520429299542,0.005066537135680785,0.8960966528182188,0.95,5
5,0.8913802818476666,0.0036514840671541104,0.8960966528182188,0.95,5
6,0.8913802818476666,0.0036514840671541104,0.8959874487295941,0.95,5
7,0.8916218541453549,0.003631746004841908,0.8959848600699756,0.95,5
8,0.8916249921880116,0.0036297240258593836,0.8959848600699756,0.95,5
9,0.8916249921880116,0.0036297240258593836,0.8975479791373864,0.95,5
0,0.11739949959987644,0.7481761814834086,0.9986542832066311,0.95,6
1,0.9780564693450942,0.015732979415386174,0.9982392819781496,0.95,6
2,0.9830692972733444,0.010299239261347841,0.9972883020238267,0.95,6
3,0.9896017760796599,0.004865323546799535,0.9974900292395487,0.95,6
4,0.9909282568056371,0.003861509155195001,0.9977903501687712,0.95,6
5,0.9911434380171575,0.003946368324655676,0.9965348056346877,0.95,6
6,0.993610166233625,0.0019861026916680726,0.9968955906531375,0.95,6
7,0.994737509979996,0.001549512214367357,0.9969283129603502,0.95,6
8,0.994761294402202,0.0015548370019589474,0.9982721276596617,0.95,6
9,0.9953578236324642,0.0020197298502295426,0.9981919301101161,0.95,6
0,0.02719719786915042,0.9073690919769396,0.9457226052564341,0.95,7
1,0.8245278038488089,0.08015603926559203,0.9443953710485625,0.95,7
2,0.9346577765248638,0.007142433111217787,0.9434824655864675,0.95,7
3,0.9368803746706669,0.0038426757896613773,0.9462405668886505,0.95,7
4,0.9389520228758065,0.004485115336577388,0.9471192166073381,0.95,7
5,0.9400072668813412,0.004358089778462569,0.947215100533744,0.95,7
6,0.9400466759282383,0.00441590631508387,0.9824550704864616,0.95,7
7,0.9409998661730333,0.02664359771779527,0.9824513473937718,0.95,7
8,0.9409991950207848,0.02667715696484786,0.9826189422391731,0.95,7
9,0.9412071807116291,0.026628099959184113,0.9826193440186318,0.95,7
0,0.9907880003494692,0.0009874619657613696,0.992734588716218,0.95,8
1,0.9923383656678133,6.973103865576675e-05,0.9927330315116344,0.95,8
2,0.9924116600035626,4.180087363197231e-05,0.9927240137691189,0.95,8
3,0.9925364760440726,3.5822771168105126e-05,0.9928704156714411,0.95,8
4,0.9926983223329353,2.992043778456893e-05,0.9928577390705154,0.95,8
5,0.9928148717658021,1.4147655913135407e-05,0.9928584249345616,0.95,8
6,0.9928153055748917,1.4357899713090639e-05,0.9928630315978922,0.95,8
7,0.9928165112259112,1.7659814834864094e-05,0.9928587723126733,0.95,8
8,0.9928170691346144,1.7241605655776067e-05,0.9928581614643935,0.95,8
9,0.9928178705707715,1.5813666475731512e-05,0.9928585370567918,0.95,8
0,0.1118870678069272,0.795279990345366,0.9924644906490065,0.95,9
1,0.8474479783980886,0.10768769469772026,0.9921660801440648,0.95,9
2,0.862938172190047,0.1070225548596283,0.9461833130485551,0.95,9
3,0.9063035837733723,0.014328838082399546,0.9459732179955402,0.95,9
4,0.9144581602076008,0.01019255776158923,0.9459654961885076,0.95,9
5,0.9173829992732223,0.007474910743853684,0.988488729283016,0.95,9
6,0.9410119942404226,0.03513522029668771,0.9881101200307646,0.95,9
7,0.9564211534251142,0.006391695020734218,0.9881607821666097,0.95,9
8,0.9578684939140965,0.005987324186061817,0.987156778210703,0.95,9
9,0.9588896114958757,0.005972027318148826,0.9876149435167116,0.95,9
